Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 50V","C_1210_3225Metric",114.006800,-48.130600,-90.000000,top
"C2","0.1uF","C_0805_2012Metric",109.612600,-43.431600,0.000000,top
"C3","220pF","C_0805_2012Metric",104.278600,-53.513600,0.000000,top
"C4","22uF","C_1210_3225Metric",93.864600,-38.402400,180.000000,top
"C5","100nF","C_0603_1608Metric",96.373800,-71.727200,0.000000,top
"C6","100nF","C_0603_1608Metric",101.373800,-71.727200,0.000000,top
"C7","100nF","C_0603_1608Metric",91.373800,-71.727200,180.000000,top
"C8","100nF","C_0603_1608Metric",106.373800,-71.727200,0.000000,top
"C9","10nF","C_0603_1608Metric",23.520400,-73.558400,0.000000,top
"D1","SS34","DIOM7959X265N_SS34",112.787600,-38.402400,0.000000,top
"L1","4.7uH","INDP7368X320_Inductor",102.373600,-38.427800,180.000000,top
"Q1","DMG2305UX-7","SOT91P240X110-3N_DMG2305UX-7",86.587900,-22.860000,0.000000,top
"Q2","DMG2305UX-7","SOT91P240X110-3N_DMG2305UX-7",55.600600,-22.885400,0.000000,top
"R1","100K","R_0805_2012Metric",93.866500,-45.870000,0.000000,top
"R2","24K9","R_0805_2012Metric",93.866500,-49.654600,180.000000,top
"R3","200K","R_0805_2012Metric",109.536400,-48.130600,0.000000,top
"R4","68K","R_0805_2012Metric",104.354800,-57.020600,180.000000,top
"R5","43K","R_0805_2012Metric",95.746100,-57.020600,0.000000,top
"R6","8K2","R_0805_2012Metric",100.140300,-57.020600,0.000000,top
"R7","2.2k","R_0603_1608Metric",65.989200,-76.695800,-90.000000,top
"R8","2.2k","R_0603_1608Metric",63.423800,-76.695800,-90.000000,top
"R9","1K","R_0603_1608Metric",23.571200,-76.530200,180.000000,top
"U1","MP1584EN","SOIC127P600X170-9N_MP1584EN",102.322800,-47.620800,0.000000,top
"U3","MAX3232","SO-16_3.9x9.9mm_P1.27mm",98.614400,-65.031200,90.000000,top
